model,fold,log_rmse
DummyBaseline,1,0.43228311331265407
DummyBaseline,2,0.3977658773984248
DummyBaseline,3,0.3781606464296516
DummyBaseline,4,0.42055961268853204
DummyBaseline,5,0.36961019251326377
Ridge,1,0.12257137095025888
Ridge,2,0.12473361036926879
Ridge,3,0.2231091228815812
Ridge,4,0.15076974480779834
Ridge,5,0.10886680426710754
ElasticNet,1,0.1206616421160179
ElasticNet,2,0.1192086369931547
ElasticNet,3,0.22277969246705537
ElasticNet,4,0.14829210421749753
ElasticNet,5,0.10728899672038758
RandomForest,1,0.14537573894157574
RandomForest,2,0.1302396885441022
RandomForest,3,0.17147146937020652
RandomForest,4,0.13854616527554944
RandomForest,5,0.12646095065932794
GradientBoosting,1,0.13650759332895962
GradientBoosting,2,0.12059065800569858
GradientBoosting,3,0.15857978026496022
GradientBoosting,4,0.1250508039514628
GradientBoosting,5,0.11384350760239614
XGBoost,1,0.12982714914535876
XGBoost,2,0.12100863770361474
XGBoost,3,0.15484808846282308
XGBoost,4,0.11987299863115297
XGBoost,5,0.11062644846747538
